Bootup. booting: 0, online: 0, dying: 0, new_online: 0
SpawnNew. booting: 1, online: 0, dying: 0, new_online: 0
NewDeath. booting: 0, online: 0, dying: 0, new_online: 0
Shutdown. booting: 0, online: 0, dying: 0, new_online: 0
Bootup. booting: 0, online: 0, dying: 0, new_online: 0
SpawnNew. booting: 1, online: 0, dying: 0, new_online: 0
Status. booting: 1, online: 0, dying: 0, new_online: 0
NewDeath. booting: 0, online: 0, dying: 0, new_online: 0
Shutdown. booting: 0, online: 0, dying: 0, new_online: 0
Bootup. booting: 0, online: 0, dying: 0, new_online: 0
SpawnNew. booting: 1, online: 0, dying: 0, new_online: 0
Status. booting: 1, online: 0, dying: 0, new_online: 0
ShutdownOld. booting: 0, online: 0, dying: 1, new_online: 0
Status. booting: 0, online: 0, dying: 1, new_online: 0
Status. booting: 0, online: 0, dying: 1, new_online: 0
Status. booting: 0, online: 0, dying: 1, new_online: 0
Status. booting: 0, online: 0, dying: 1, new_online: 0
Status. booting: 0, online: 0, dying: 1, new_online: 0
Status. booting: 0, online: 0, dying: 1, new_online: 0
Status. booting: 0, online: 0, dying: 1, new_online: 0
Status. booting: 0, online: 0, dying: 1, new_online: 0
Status. booting: 0, online: 0, dying: 1, new_online: 0
Status. booting: 0, online: 0, dying: 1, new_online: 0
Status. booting: 0, online: 0, dying: 1, new_online: 0
AlreadyShuttingDown. booting: 0, online: 0, dying: 1, new_online: 0
AlreadyShuttingDown. booting: 0, online: 0, dying: 1, new_online: 0
Timeout. booting: 0, online: 0, dying: 1, new_online: 0
DestroyOld. booting: 0, online: 0, dying: 1, new_online: 0
OldExit. booting: 0, online: 0, dying: 0, new_online: 0
Shutdown. booting: 0, online: 0, dying: 0, new_online: 0
Bootup. booting: 0, online: 0, dying: 0, new_online: 0
SpawnNew. booting: 1, online: 0, dying: 0, new_online: 0
ErrorDeployInProgress. booting: 1, online: 0, dying: 0, new_online: 0
DestroyNew. booting: 0, online: 0, dying: 0, new_online: 0
NewDestroyed. booting: 0, online: 0, dying: 0, new_online: 0
Ready. booting: 0, online: 0, dying: 0, new_online: 0
Ready. booting: 0, online: 0, dying: 0, new_online: 0
Status. booting: 0, online: 0, dying: 0, new_online: 0
Status. booting: 0, online: 0, dying: 0, new_online: 0
Shutdown. booting: 0, online: 0, dying: 0, new_online: 0
Bootup. booting: 0, online: 0, dying: 0, new_online: 0
SpawnNew. booting: 1, online: 0, dying: 0, new_online: 0
ErrorDeployInProgress. booting: 1, online: 0, dying: 0, new_online: 0
DestroyNew. booting: 0, online: 0, dying: 0, new_online: 0
NewDestroyed. booting: 0, online: 0, dying: 0, new_online: 0
Ready. booting: 0, online: 0, dying: 0, new_online: 0
Shutdown. booting: 0, online: 0, dying: 0, new_online: 0
Bootup. booting: 0, online: 0, dying: 0, new_online: 0
SpawnNew. booting: 1, online: 0, dying: 0, new_online: 0
Status. booting: 1, online: 0, dying: 0, new_online: 0
Status. booting: 1, online: 0, dying: 0, new_online: 0
Status. booting: 1, online: 0, dying: 0, new_online: 0
Status. booting: 1, online: 0, dying: 0, new_online: 0
Status. booting: 1, online: 0, dying: 0, new_online: 0
ShutdownOld. booting: 0, online: 0, dying: 1, new_online: 0
Timeout. booting: 0, online: 0, dying: 1, new_online: 0
DestroyOld. booting: 0, online: 0, dying: 1, new_online: 0
OldExit. booting: 0, online: 0, dying: 0, new_online: 0
Shutdown. booting: 0, online: 0, dying: 0, new_online: 0
Bootup. booting: 0, online: 0, dying: 0, new_online: 0
SpawnNew. booting: 1, online: 0, dying: 0, new_online: 0
Status. booting: 1, online: 0, dying: 0, new_online: 0
